name,bus_stop_no,latitude,longitude
tampines intEW2/DT32,75009,1.35407552374346,103.943390984807
blk 401,76191,1.35694388635352,103.944774454131
blk 423,76201,1.35687499354683,103.947967422135
blk 449,76211,1.43339605588677,103.82711777039
tampines east stn exit aDT33,76221,1.3563896244904,103.953902267272
opp blk 390,76231,1.43193085614681,103.842565042895
blk 497d,76241,1.35838664366382,103.959146786663
avila gdns,98301,1.36001388880568,103.964876111042
estella gdns,98281,1.35968111415164,103.966155554578
bef mariam wk,98311,1.3593061111698,103.968491111102
changi prison,97049,1.35817903742337,103.969738793517
bef jln bena,97039,1.35535232683981,103.968940564066
aft upp changi rd nth,97141,1.35231360645951,103.967935110865
aft changi nth st 1,97301,1.35182434688887,103.969798483093
zuellig pharma,97311,1.35255805548404,103.972901111194
bef changi prison cplx,97331,1.35563660379153,103.975098016814
aft compass green,97321,1.36060285142175,103.974641201893
changi women's prison,97059,1.36075141203064,103.970972325692
aft ballota pk,98319,1.3592369442807,103.96845690531
opp estella gdns,98289,1.35952944609165,103.966643053518
carissa pk,98309,1.35999807140038,103.964432373496
blk 370,76249,1.35828311742496,103.959447586431
blk 390,76239,1.35649272932905,103.957548264813
opp tampines east stnDT33,76229,1.35613608037037,103.953495285762
blk 230e,76219,1.35644168682689,103.95114418553
blk 233,76209,1.35660332787957,103.94766913179
blk 503,76199,1.35660016326953,103.945354284389
pasir ris intEW1,77009,1.37369611095935,103.948450001146
downtown east,78109,1.37540461074422,103.954557187489
opp blk 479,78119,1.37567999996028,103.957966110967
opp blk 233,78129,1.37513135757565,103.96212033855
opp pasir ris pr sch,78139,1.37321804479962,103.963988555906
ntuc health pasir ris,78149,1.36970105269452,103.964118872116
opp loyang pt,98109,1.36694172983095,103.965843495626
bef old tampines rd,97121,1.36480128195838,103.967651749957
bef toh cl,97111,1.36331111102312,103.970388332904
opp palm isles,98291,1.35698792001971,103.965209090892
opp salvation army,97019,1.3529227885217,103.965440710641
mera terr p/g,96069,1.34665000850822,103.963112355889
changi ct,96059,1.34352350842229,103.962182971747
upp changi stn/sutdDT34,96049,1.34087446139893,103.96143293298
simei green condo,96201,1.34068848240995,103.959259141063
blk 224,96191,1.34285666691993,103.957746388941
blk 233,96261,1.34404967244476,103.955859355719
opp simei stnEW3,96161,1.34211893860287,103.9535401515
bef changi general hosp,96251,1.34026697845871,103.951380280991
opp changi general hosp,96281,1.3394165268119,103.948500886717
bef tampines west stnDT31,75059,1.45063212743043,103.826554055194
blk 960a,75069,1.34066333303816,103.936699999863
the clearwater condo,75349,1.33811824862811,103.93395781515
waterfront key,84609,1.3379113890583,103.931308056056
aft waterfront waves,84639,1.33857139776277,103.929377171894
waterfront isle,84619,1.33896501373125,103.927466942759
blk 716,84629,1.3381574924399,103.925378727139
blk 713,84479,1.33742106440224,103.922531604786
blk 703,84469,1.33751529154719,103.919728346923
